application_id,score,pd,decision,sabab
AP002185,561,0.0221,toladi,Одобрено (скор 561). Положительные факторы: Медианный доход: +61 баллов; Стаж работы (мес): +26 баллов; PTI (платёж/доход): +14 баллов
AP002186,512,0.0428,toladi,Одобрено (скор 512). Положительные факторы: Стаж работы (мес): +19 баллов; Тип занятости: +13 баллов; Возраст: +13 баллов
AP002187,468,0.076,toladi,Одобрено (скор 468). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +12 баллов
AP002188,578,0.0176,toladi,Одобрено (скор 578). Положительные факторы: Медианный доход: +29 баллов; DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов
AP002189,458,0.0866,toladi,Одобрено (скор 458). Положительные факторы: Срок кредита (мес): +15 баллов; Тип занятости: +11 баллов; Стаж работы (мес): +9 баллов
AP002190,527,0.0351,toladi,Одобрено (скор 527). Положительные факторы: Срок кредита (мес): +15 баллов; DTI (долг/доход): +13 баллов; Тип занятости: +13 баллов
AP002191,551,0.0252,toladi,Одобрено (скор 551). Положительные факторы: Возраст: +19 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002192,510,0.044,toladi,Одобрено (скор 510). Положительные факторы: Медианный доход: +47 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002193,500,0.0498,toladi,Одобрено (скор 500). Положительные факторы: DTI (долг/доход): +14 баллов; PTI (платёж/доход): +14 баллов; Медианный доход: +11 баллов
AP002194,525,0.0361,toladi,Одобрено (скор 525). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов; Тип занятости: +11 баллов
AP002195,557,0.0233,toladi,Одобрено (скор 557). Положительные факторы: Медианный доход: +25 баллов; Срок кредита (мес): +15 баллов; PTI (платёж/доход): +12 баллов
AP002196,466,0.0777,toladi,Одобрено (скор 466). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +11 баллов; Нестабильность дохода (CV): +8 баллов
AP002197,433,0.1181,defolt,Отказ (скор 433). Основные факторы: Стаж работы (мес): -22 баллов; Срок кредита (мес): -22 баллов; DTI (долг/доход): -18 баллов
AP002198,451,0.0936,toladi,Одобрено (скор 451). Положительные факторы: PTI (платёж/доход): +15 баллов; DTI (долг/доход): +15 баллов; Тип занятости: +11 баллов
AP002199,489,0.0577,toladi,Одобрено (скор 489). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +12 баллов; Тип занятости: +11 баллов
AP002200,523,0.0369,toladi,Одобрено (скор 523). Положительные факторы: DTI (долг/доход): +13 баллов; PTI (платёж/доход): +13 баллов; Возраст: +12 баллов
AP002201,532,0.0327,toladi,Одобрено (скор 532). Положительные факторы: Медианный доход: +39 баллов; Стаж работы (мес): +26 баллов; Возраст: +23 баллов
AP002202,495,0.0534,toladi,Одобрено (скор 495). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002203,441,0.1068,defolt,Отказ (скор 441). Основные факторы: DTI (долг/доход): -45 баллов; PTI (платёж/доход): -32 баллов; Медианный доход: -11 баллов
AP002204,534,0.0318,toladi,Одобрено (скор 534). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +13 баллов; Возраст: +12 баллов
AP002205,525,0.0357,toladi,Одобрено (скор 525). Положительные факторы: Стаж работы (мес): +20 баллов; DTI (долг/доход): +17 баллов; Возраст: +16 баллов
AP002206,366,0.2515,defolt,Отказ (скор 366). Основные факторы: DTI (долг/доход): -76 баллов; PTI (платёж/доход): -44 баллов; Образование: -7 баллов
AP002207,529,0.0341,toladi,Одобрено (скор 529). Положительные факторы: Стаж работы (мес): +23 баллов; Возраст: +18 баллов; DTI (долг/доход): +17 баллов
AP002208,532,0.0328,toladi,Одобрено (скор 532). Положительные факторы: Медианный доход: +52 баллов; PTI (платёж/доход): +13 баллов; Тип занятости: +11 баллов
AP002209,468,0.0757,toladi,Одобрено (скор 468). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов
AP002210,216,0.7309,defolt,Отказ (скор 216). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов; DTI (долг/доход): -22 баллов
AP002211,537,0.0305,toladi,Одобрено (скор 537). Положительные факторы: Медианный доход: +49 баллов; Тип занятости: +13 баллов; PTI (платёж/доход): +12 баллов
AP002212,448,0.0975,defolt,Отказ (скор 448). Основные факторы: Сумма/Доход: -36 баллов; PTI (платёж/доход): -30 баллов; Возраст: -15 баллов
AP002213,510,0.0438,toladi,Одобрено (скор 510). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +13 баллов; Тип занятости: +11 баллов
AP002214,445,0.1011,defolt,Отказ (скор 445). Основные факторы: Макс. просрочка (дн): -40 баллов; PTI (платёж/доход): -16 баллов; Медианный доход: -13 баллов
AP002215,613,0.0109,toladi,Одобрено (скор 613). Положительные факторы: Медианный доход: +62 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +17 баллов
AP002216,501,0.0496,toladi,Одобрено (скор 501). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Тип занятости: +13 баллов
AP002217,373,0.2353,defolt,Отказ (скор 373). Основные факторы: Возраст: -24 баллов; Медианный доход: -19 баллов; Стаж работы (мес): -17 баллов
AP002218,541,0.029,toladi,Одобрено (скор 541). Положительные факторы: Возраст: +20 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002219,518,0.0396,toladi,Одобрено (скор 518). Положительные факторы: Стаж работы (мес): +24 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002220,366,0.2523,defolt,Отказ (скор 366). Основные факторы: DTI (долг/доход): -38 баллов; PTI (платёж/доход): -24 баллов; Медианный доход: -19 баллов
AP002221,489,0.0576,toladi,Одобрено (скор 489). Положительные факторы: Стаж работы (мес): +19 баллов; Срок кредита (мес): +11 баллов
AP002222,518,0.0393,toladi,Одобрено (скор 518). Положительные факторы: Возраст: +20 баллов; Срок кредита (мес): +15 баллов; DTI (долг/доход): +8 баллов
AP002223,427,0.1263,defolt,Отказ (скор 427). Основные факторы: PTI (платёж/доход): -34 баллов; DTI (долг/доход): -31 баллов; Медианный доход: -9 баллов
AP002224,503,0.0479,toladi,Одобрено (скор 503). Положительные факторы: Тип занятости: +13 баллов; DTI (долг/доход): +13 баллов; PTI (платёж/доход): +13 баллов
AP002225,492,0.0555,toladi,Одобрено (скор 492). Положительные факторы: Возраст: +13 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002226,580,0.0171,toladi,Одобрено (скор 580). Положительные факторы: Стаж работы (мес): +23 баллов; Возраст: +20 баллов; DTI (долг/доход): +15 баллов
AP002227,525,0.0359,toladi,Одобрено (скор 525). Положительные факторы: Медианный доход: +27 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002228,415,0.1454,defolt,Отказ (скор 415). Основные факторы: DTI (долг/доход): -29 баллов; Срок кредита (мес): -22 баллов; PTI (платёж/доход): -14 баллов
AP002229,248,0.6346,defolt,Отказ (скор 248). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов; Нестабильность дохода (CV): -17 баллов
AP002230,476,0.0687,toladi,Одобрено (скор 476). Положительные факторы: Медианный доход: +41 баллов; PTI (платёж/доход): +14 баллов
AP002231,514,0.0416,toladi,Одобрено (скор 514). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Тип занятости: +13 баллов
AP002232,432,0.1191,defolt,Отказ (скор 432). Основные факторы: Срок кредита (мес): -22 баллов; Сумма/Доход: -22 баллов; Медианный доход: -13 баллов
AP002233,550,0.0258,toladi,Одобрено (скор 550). Положительные факторы: Возраст: +24 баллов; Стаж работы (мес): +21 баллов; DTI (долг/доход): +17 баллов
AP002234,395,0.184,defolt,Отказ (скор 395). Основные факторы: DTI (долг/доход): -39 баллов; PTI (платёж/доход): -28 баллов; Стаж работы (мес): -20 баллов
AP002235,513,0.0419,toladi,Одобрено (скор 513). Положительные факторы: Медианный доход: +26 баллов; DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов
AP002236,484,0.0614,toladi,Одобрено (скор 484). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +13 баллов; PTI (платёж/доход): +12 баллов
AP002237,525,0.0358,toladi,Одобрено (скор 525). Положительные факторы: Возраст: +24 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002238,451,0.0943,toladi,Одобрено (скор 451). Положительные факторы: Стаж работы (мес): +20 баллов; Медианный доход: +13 баллов
AP002239,454,0.0908,toladi,Одобрено (скор 454). Положительные факторы: Стаж работы (мес): +21 баллов
AP002240,506,0.046,toladi,Одобрено (скор 506). Положительные факторы: Возраст: +18 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002241,471,0.0727,toladi,Одобрено (скор 471). Положительные факторы: PTI (платёж/доход): +17 баллов; DTI (долг/доход): +17 баллов; Тип занятости: +11 баллов
AP002242,439,0.1098,defolt,Отказ (скор 439). Основные факторы: Возраст: -23 баллов; Срок кредита (мес): -22 баллов; Стаж работы (мес): -19 баллов
AP002243,392,0.1897,defolt,Отказ (скор 392). Основные факторы: PTI (платёж/доход): -74 баллов; Сумма/Доход: -36 баллов; Медианный доход: -22 баллов
AP002244,432,0.1195,defolt,Отказ (скор 432). Основные факторы: DTI (долг/доход): -32 баллов; PTI (платёж/доход): -29 баллов; Медианный доход: -14 баллов
AP002245,516,0.0405,toladi,Одобрено (скор 516). Положительные факторы: Возраст: +19 баллов; Медианный доход: +12 баллов; Тип занятости: +11 баллов
AP002246,262,0.5871,defolt,Отказ (скор 262). Основные факторы: DTI (долг/доход): -138 баллов; PTI (платёж/доход): -79 баллов; Стаж работы (мес): -23 баллов
AP002247,230,0.6884,defolt,Отказ (скор 230). Основные факторы: DTI (долг/доход): -122 баллов; PTI (платёж/доход): -79 баллов; Сумма/Доход: -36 баллов
AP002248,532,0.0325,toladi,Одобрено (скор 532). Положительные факторы: Стаж работы (мес): +19 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +17 баллов
AP002249,441,0.1071,defolt,Отказ (скор 441). Основные факторы: Сумма/Доход: -20 баллов; Стаж работы (мес): -14 баллов; Медианный доход: -12 баллов
AP002250,531,0.0331,toladi,Одобрено (скор 531). Положительные факторы: Возраст: +24 баллов; DTI (долг/доход): +17 баллов; Тип занятости: +13 баллов
AP002251,377,0.2247,defolt,Отказ (скор 377). Основные факторы: DTI (долг/доход): -31 баллов; Возраст: -23 баллов; PTI (платёж/доход): -19 баллов
AP002252,515,0.041,toladi,Одобрено (скор 515). Положительные факторы: Медианный доход: +19 баллов; DTI (долг/доход): +16 баллов; PTI (платёж/доход): +16 баллов
AP002253,465,0.0789,toladi,Одобрено (скор 465). Положительные факторы: Стаж работы (мес): +23 баллов; Срок кредита (мес): +15 баллов
AP002254,517,0.04,toladi,Одобрено (скор 517). Положительные факторы: Возраст: +18 баллов; Стаж работы (мес): +16 баллов; PTI (платёж/доход): +12 баллов
AP002255,537,0.0306,toladi,Одобрено (скор 537). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Стаж работы (мес): +13 баллов
AP002256,477,0.0677,toladi,Одобрено (скор 477). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002257,429,0.1232,defolt,Отказ (скор 429). Основные факторы: Макс. просрочка (дн): -17 баллов; Нестабильность дохода (CV): -15 баллов; DTI (долг/доход): -14 баллов
AP002258,576,0.018,toladi,Одобрено (скор 576). Положительные факторы: Медианный доход: +62 баллов; PTI (платёж/доход): +16 баллов; DTI (долг/доход): +16 баллов
AP002259,495,0.0533,toladi,Одобрено (скор 495). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов; Медианный доход: +7 баллов
AP002260,449,0.0961,defolt,Отказ (скор 449). Основные факторы: Нестабильность дохода (CV): -18 баллов; Стаж работы (мес): -14 баллов; DTI (долг/доход): -8 баллов
AP002261,508,0.0452,toladi,Одобрено (скор 508). Положительные факторы: Медианный доход: +20 баллов; PTI (платёж/доход): +14 баллов; Тип занятости: +13 баллов
AP002262,449,0.0966,defolt,Отказ (скор 449). Основные факторы: Стаж работы (мес): -19 баллов; Возраст: -15 баллов; Медианный доход: -11 баллов
AP002263,590,0.0149,toladi,Одобрено (скор 590). Положительные факторы: Медианный доход: +44 баллов; DTI (долг/доход): +17 баллов; Стаж работы (мес): +17 баллов
AP002264,539,0.0298,toladi,Одобрено (скор 539). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +14 баллов; Стаж работы (мес): +11 баллов
AP002265,411,0.1533,defolt,Отказ (скор 411). Основные факторы: Срок кредита (мес): -22 баллов; Стаж работы (мес): -18 баллов; Возраст: -17 баллов
AP002266,417,0.1429,defolt,Отказ (скор 417). Основные факторы: DTI (долг/доход): -24 баллов; Стаж работы (мес): -23 баллов; Медианный доход: -17 баллов
AP002267,447,0.0988,defolt,Отказ (скор 447). Основные факторы: Срок кредита (мес): -22 баллов; DTI (долг/доход): -14 баллов; Медианный доход: -13 баллов
AP002268,484,0.0613,toladi,Одобрено (скор 484). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов; Тип занятости: +13 баллов
AP002269,528,0.0343,toladi,Одобрено (скор 528). Положительные факторы: Медианный доход: +52 баллов; Срок кредита (мес): +15 баллов; DTI (долг/доход): +14 баллов
AP002270,388,0.1982,defolt,Отказ (скор 388). Основные факторы: DTI (долг/доход): -54 баллов; PTI (платёж/доход): -36 баллов; Сумма/Доход: -10 баллов
AP002271,549,0.0258,toladi,Одобрено (скор 549). Положительные факторы: Стаж работы (мес): +24 баллов; Медианный доход: +19 баллов; DTI (долг/доход): +17 баллов
AP002272,554,0.0244,toladi,Одобрено (скор 554). Положительные факторы: DTI (долг/доход): +17 баллов; Стаж работы (мес): +15 баллов; Срок кредита (мес): +15 баллов
AP002273,500,0.0501,toladi,Одобрено (скор 500). Положительные факторы: Срок кредита (мес): +15 баллов; DTI (долг/доход): +8 баллов; Нестабильность дохода (CV): +7 баллов
AP002274,419,0.1395,defolt,Отказ (скор 419). Основные факторы: Срок кредита (мес): -22 баллов; Возраст: -18 баллов; Стаж работы (мес): -17 баллов
AP002275,421,0.1352,defolt,Отказ (скор 421). Основные факторы: Срок кредита (мес): -22 баллов; Возраст: -17 баллов; DTI (долг/доход): -14 баллов
AP002276,435,0.1147,defolt,Отказ (скор 435). Основные факторы: Возраст: -17 баллов; Медианный доход: -15 баллов; PTI (платёж/доход): -15 баллов
AP002277,494,0.0539,toladi,Одобрено (скор 494). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Нестабильность дохода (CV): +8 баллов
AP002278,590,0.0149,toladi,Одобрено (скор 590). Положительные факторы: Медианный доход: +38 баллов; Возраст: +23 баллов; Тип занятости: +13 баллов
AP002279,247,0.6367,defolt,Отказ (скор 247). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов; Возраст: -22 баллов
AP002280,469,0.0746,toladi,Одобрено (скор 469). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +11 баллов; PTI (платёж/доход): +10 баллов
AP002281,436,0.1137,defolt,Отказ (скор 436). Основные факторы: Медианный доход: -21 баллов; Стаж работы (мес): -17 баллов; Сумма/Доход: -16 баллов
AP002282,497,0.0519,toladi,Одобрено (скор 497). Положительные факторы: Медианный доход: +17 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +17 баллов
AP002283,435,0.1148,defolt,Отказ (скор 435). Основные факторы: DTI (долг/доход): -38 баллов; PTI (платёж/доход): -35 баллов; Медианный доход: -14 баллов
AP002284,519,0.039,toladi,Одобрено (скор 519). Положительные факторы: Стаж работы (мес): +23 баллов; Медианный доход: +21 баллов; DTI (долг/доход): +17 баллов
AP002285,483,0.0625,toladi,Одобрено (скор 483). Положительные факторы: Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов; Стаж работы (мес): +10 баллов
AP002286,415,0.1457,defolt,Отказ (скор 415). Основные факторы: DTI (долг/доход): -38 баллов; PTI (платёж/доход): -20 баллов; Макс. просрочка (дн): -17 баллов
AP002287,263,0.5858,defolt,Отказ (скор 263). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов; Возраст: -15 баллов
AP002288,259,0.5978,defolt,Отказ (скор 259). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов; Возраст: -17 баллов
AP002289,504,0.0473,toladi,Одобрено (скор 504). Положительные факторы: PTI (платёж/доход): +14 баллов; Тип занятости: +13 баллов; Возраст: +13 баллов
AP002290,520,0.0383,toladi,Одобрено (скор 520). Положительные факторы: Возраст: +23 баллов; Стаж работы (мес): +23 баллов; DTI (долг/доход): +17 баллов
AP002291,462,0.0816,toladi,Одобрено (скор 462). Положительные факторы: Срок кредита (мес): +15 баллов; Стаж работы (мес): +11 баллов
AP002292,515,0.0412,toladi,Одобрено (скор 515). Положительные факторы: Медианный доход: +18 баллов; DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов
AP002293,506,0.046,toladi,Одобрено (скор 506). Положительные факторы: Стаж работы (мес): +18 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002294,494,0.0538,toladi,Одобрено (скор 494). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Тип занятости: +11 баллов
AP002295,497,0.0517,toladi,Одобрено (скор 497). Положительные факторы: Стаж работы (мес): +17 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002296,519,0.0388,toladi,Одобрено (скор 519). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +13 баллов; Тип занятости: +11 баллов
AP002297,430,0.1218,defolt,Отказ (скор 430). Основные факторы: Возраст: -23 баллов; Стаж работы (мес): -20 баллов; Медианный доход: -20 баллов
AP002298,540,0.0293,toladi,Одобрено (скор 540). Положительные факторы: Возраст: +21 баллов; DTI (долг/доход): +17 баллов; Стаж работы (мес): +16 баллов
AP002299,400,0.1744,defolt,Отказ (скор 400). Основные факторы: Макс. просрочка (дн): -40 баллов; Возраст: -20 баллов; Стаж работы (мес): -10 баллов
AP002300,455,0.0895,toladi,Одобрено (скор 455). Положительные факторы: Тип занятости: +11 баллов; PTI (платёж/доход): +11 баллов
AP002301,471,0.0726,toladi,Одобрено (скор 471). Положительные факторы: DTI (долг/доход): +17 баллов; Возраст: +15 баллов
AP002302,481,0.0643,toladi,Одобрено (скор 481). Положительные факторы: PTI (платёж/доход): +13 баллов; DTI (долг/доход): +12 баллов; Нестабильность дохода (CV): +8 баллов
AP002303,475,0.0696,toladi,Одобрено (скор 475). Положительные факторы: Возраст: +23 баллов; Стаж работы (мес): +12 баллов
AP002304,435,0.1144,defolt,Отказ (скор 435). Основные факторы: Возраст: -18 баллов; Медианный доход: -16 баллов; Нестабильность дохода (CV): -10 баллов
AP002305,490,0.0567,toladi,Одобрено (скор 490). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +14 баллов; Образование: +6 баллов
AP002306,223,0.7099,defolt,Отказ (скор 223). Основные факторы: DTI (долг/доход): -137 баллов; PTI (платёж/доход): -79 баллов; Медианный доход: -18 баллов
AP002307,494,0.0539,toladi,Одобрено (скор 494). Положительные факторы: Возраст: +24 баллов; Стаж работы (мес): +17 баллов; Срок кредита (мес): +15 баллов
AP002308,445,0.1013,defolt,Отказ (скор 445). Основные факторы: Макс. просрочка (дн): -40 баллов; Срок кредита (мес): -22 баллов
AP002309,513,0.0421,toladi,Одобрено (скор 513). Положительные факторы: Возраст: +24 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002310,490,0.0573,toladi,Одобрено (скор 490). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +13 баллов; Срок кредита (мес): +11 баллов
AP002311,311,0.4201,defolt,Отказ (скор 311). Основные факторы: DTI (долг/доход): -80 баллов; PTI (платёж/доход): -66 баллов; Медианный доход: -17 баллов
AP002312,453,0.0921,toladi,Одобрено (скор 453). Положительные факторы: Возраст: +21 баллов; Нестабильность дохода (CV): +8 баллов
AP002313,449,0.0961,defolt,Отказ (скор 449). Основные факторы: DTI (долг/доход): -37 баллов; PTI (платёж/доход): -20 баллов
AP002314,546,0.0272,toladi,Одобрено (скор 546). Положительные факторы: Возраст: +23 баллов; DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов
AP002315,600,0.0129,toladi,Одобрено (скор 600). Положительные факторы: Медианный доход: +56 баллов; DTI (долг/доход): +17 баллов; Возраст: +16 баллов
AP002316,519,0.0391,toladi,Одобрено (скор 519). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002317,409,0.1561,defolt,Отказ (скор 409). Основные факторы: PTI (платёж/доход): -46 баллов; DTI (долг/доход): -23 баллов; Медианный доход: -20 баллов
AP002318,426,0.1278,defolt,Отказ (скор 426). Основные факторы: Срок кредита (мес): -22 баллов; DTI (долг/доход): -18 баллов; Медианный доход: -17 баллов
AP002319,488,0.0583,toladi,Одобрено (скор 488). Положительные факторы: Стаж работы (мес): +28 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002320,477,0.0671,toladi,Одобрено (скор 477). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Нестабильность дохода (CV): +7 баллов
AP002321,537,0.0307,toladi,Одобрено (скор 537). Положительные факторы: Тип занятости: +13 баллов; PTI (платёж/доход): +13 баллов; DTI (долг/доход): +10 баллов
AP002322,434,0.1158,defolt,Отказ (скор 434). Основные факторы: Срок кредита (мес): -22 баллов; Стаж работы (мес): -21 баллов; DTI (долг/доход): -7 баллов
AP002323,603,0.0124,toladi,Одобрено (скор 603). Положительные факторы: Медианный доход: +52 баллов; Стаж работы (мес): +17 баллов; DTI (долг/доход): +17 баллов
AP002324,556,0.0238,toladi,Одобрено (скор 556). Положительные факторы: Медианный доход: +30 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002325,514,0.0415,toladi,Одобрено (скор 514). Положительные факторы: PTI (платёж/доход): +15 баллов; DTI (долг/доход): +14 баллов; Стаж работы (мес): +13 баллов
AP002326,458,0.0866,toladi,Одобрено (скор 458). Положительные факторы: Возраст: +20 баллов; DTI (долг/доход): +12 баллов; Срок кредита (мес): +11 баллов
AP002327,542,0.0286,toladi,Одобрено (скор 542). Положительные факторы: Возраст: +23 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002328,524,0.0364,toladi,Одобрено (скор 524). Положительные факторы: Медианный доход: +20 баллов; Возраст: +19 баллов; DTI (долг/доход): +12 баллов
AP002329,479,0.0657,toladi,Одобрено (скор 479). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +14 баллов; Тип занятости: +11 баллов
AP002330,494,0.0542,toladi,Одобрено (скор 494). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002331,519,0.0389,toladi,Одобрено (скор 519). Положительные факторы: Стаж работы (мес): +16 баллов; PTI (платёж/доход): +13 баллов; Возраст: +13 баллов
AP002332,418,0.141,defolt,Отказ (скор 418). Основные факторы: DTI (долг/доход): -34 баллов; PTI (платёж/доход): -26 баллов; Нестабильность дохода (CV): -17 баллов
