applicant_id,loan_id,bank,summa,muddat_oy,oylik_tolov,qoldiq,max_kechikish_kun,status
A000124,L0000110,BANK-04,28551291,36,853753,5007039,45,faol
A000126,L0000111,BANK-09,18958098,18,1148658,13650277,0,faol
A000128,L0000112,BANK-11,10394699,6,1946581,1721478,15,faol
A000128,L0000113,BANK-12,20827601,12,2128772,5289222,45,faol
A000128,L0000114,BANK-07,30995027,60,672361,6171272,95,faol
A000129,L0000115,BANK-10,10628493,6,2390883,1554342,0,faol
A000130,L0000116,BANK-02,17687030,18,1154252,14085794,0,faol
A000130,L0000117,BANK-10,6164678,12,632538,1437546,45,faol
A000132,L0000118,BANK-11,5074262,36,184825,2376247,0,yopilgan
A000132,L0000119,BANK-04,24876443,36,792177,6657471,45,faol
A000132,L0000120,BANK-12,4942909,6,1074461,1606556,0,faol
A000133,L0000121,BANK-07,20862951,12,2305381,5737003,0,yopilgan
A000133,L0000122,BANK-06,3662434,60,74578,2434451,45,faol
A000133,L0000123,BANK-11,6541236,24,298212,5236181,0,yopilgan
A000136,L0000124,BANK-12,8098808,6,1431282,5090316,0,faol
A000137,L0000125,BANK-12,10160924,18,655346,3718642,0,faol
A000138,L0000126,BANK-04,10174908,60,192382,2010342,15,faol
A000139,L0000127,BANK-02,20799416,36,774253,14869422,0,faol
A000140,L0000128,BANK-12,11212693,24,626666,4840960,45,faol
A000140,L0000129,BANK-10,37334262,18,2650572,27811995,0,faol
A000143,L0000130,BANK-01,6298982,36,205562,2954975,15,faol
A000143,L0000131,BANK-04,11039914,60,239974,5343231,0,faol
A000146,L0000132,BANK-02,13814576,36,454934,10090823,0,faol
A000148,L0000133,BANK-12,3615843,60,80463,1749781,0,faol
A000148,L0000134,BANK-02,20617321,60,386816,13462090,0,faol
A000152,L0000135,BANK-02,14123080,24,713742,12565952,0,faol
A000155,L0000136,BANK-09,10518496,6,2068074,1107133,15,faol
A000155,L0000137,BANK-04,12224179,36,383310,4773592,15,yopilgan
A000155,L0000138,BANK-04,13014797,36,391824,9832341,0,faol
A000156,L0000139,BANK-10,4775117,18,318936,1672280,0,faol
A000157,L0000140,BANK-03,10921285,6,2262938,3960490,0,faol
A000163,L0000141,BANK-04,14879368,60,307053,7697630,0,faol
A000165,L0000142,BANK-11,19236101,36,631243,7912471,0,yopilgan
A000166,L0000143,BANK-08,23070979,18,1450550,18004258,0,faol
A000167,L0000144,BANK-07,15840323,12,1686952,11876574,0,faol
A000169,L0000145,BANK-11,22761026,18,1532635,13725042,45,faol
A000169,L0000146,BANK-04,1947624,36,64191,1356301,0,faol
A000169,L0000147,BANK-01,22156006,36,723432,11471025,0,yopilgan
A000172,L0000148,BANK-01,9047465,18,598827,5425209,45,yopilgan
A000172,L0000149,BANK-12,8178702,36,238953,4608754,15,faol
A000174,L0000150,BANK-01,3364431,18,196757,2044695,45,faol
A000174,L0000151,BANK-10,13159991,24,652466,4648490,0,faol
A000175,L0000152,BANK-09,10032207,6,2119370,6891122,15,faol
A000175,L0000153,BANK-06,4042443,6,881179,591409,0,faol
A000175,L0000154,BANK-12,19194126,60,367488,7914647,0,faol
A000177,L0000155,BANK-03,17135207,24,923308,7714610,0,faol
A000179,L0000156,BANK-03,21362602,6,4571507,10165835,0,faol
A000180,L0000157,BANK-06,9972390,6,2146546,2347212,0,faol
A000180,L0000158,BANK-02,26259058,6,5139777,13602598,0,yopilgan
A000180,L0000159,BANK-01,18667795,18,1321300,9359270,45,faol
A000181,L0000160,BANK-03,5592036,12,574624,688467,0,faol
A000183,L0000161,BANK-09,6820760,18,426500,824791,0,faol
A000184,L0000162,BANK-07,3055887,24,141802,2083293,0,yopilgan
A000184,L0000163,BANK-07,5760063,6,1284815,4849514,0,faol
A000186,L0000164,BANK-04,6248909,24,340140,2049095,0,faol
A000186,L0000165,BANK-01,4774516,36,178822,3737142,0,faol
A000188,L0000166,BANK-02,7066922,60,154213,6221155,45,faol
A000189,L0000167,BANK-03,36740392,18,2521010,23489561,0,faol
A000189,L0000168,BANK-04,26925214,6,5775743,14734115,0,faol
A000192,L0000169,BANK-09,11124901,24,494637,7252040,0,faol
A000193,L0000170,BANK-07,3043900,6,660308,1382085,0,faol
A000194,L0000171,BANK-02,11179070,36,358498,4284391,0,faol
A000195,L0000172,BANK-10,3703881,60,79497,887814,15,faol
A000197,L0000173,BANK-10,8275705,36,286780,3894143,0,faol
A000197,L0000174,BANK-07,2046182,12,224521,1767644,0,yopilgan
A000197,L0000175,BANK-06,7327104,6,1610974,2528687,15,faol
A000198,L0000176,BANK-10,9469085,12,1020417,3075271,0,faol
A000198,L0000177,BANK-07,6264070,18,396185,3898383,0,faol
A000198,L0000178,BANK-02,47210532,6,10293208,11845843,0,faol
A000199,L0000179,BANK-10,8911987,36,271400,6072487,0,faol
A000200,L0000180,BANK-02,20700935,36,728774,4177405,45,faol
A000202,L0000181,BANK-01,10552722,12,929331,8351138,0,faol
A000204,L0000182,BANK-11,11396633,36,367129,6238193,0,faol
A000205,L0000183,BANK-11,5519761,24,269742,1104082,0,faol
A000205,L0000184,BANK-09,28083586,60,572477,16397119,0,faol
A000205,L0000185,BANK-09,7705237,18,504966,5174048,0,faol
A000208,L0000186,BANK-06,17003273,24,808619,5125764,0,faol
A000208,L0000187,BANK-09,17813450,60,397676,15679461,0,faol
A000209,L0000188,BANK-10,10659814,6,2148074,4281892,15,faol
A000209,L0000189,BANK-01,5535358,12,590741,2093253,0,faol
A000214,L0000190,BANK-01,11959691,60,243817,4787870,0,faol
A000216,L0000191,BANK-05,10513733,12,1083217,2962586,15,faol
A000218,L0000192,BANK-02,2842918,18,199675,879359,15,faol
A000220,L0000193,BANK-08,12444886,18,887354,9743112,0,faol
A000226,L0000194,BANK-01,7140682,60,152389,4307093,95,faol
A000226,L0000195,BANK-10,6602265,24,340904,3891408,15,faol
A000226,L0000196,BANK-04,10869133,12,1105371,6800930,45,faol
A000233,L0000197,BANK-04,9904204,36,304388,1249265,95,faol
A000237,L0000198,BANK-07,15736242,18,979655,4614455,0,faol
A000238,L0000199,BANK-09,8976883,6,1841380,2774237,95,yopilgan
A000239,L0000200,BANK-03,13388657,12,1297389,4851496,0,faol
A000240,L0000201,BANK-07,22130564,60,437570,17893267,0,faol
A000241,L0000202,BANK-05,7007259,36,252296,2141755,0,faol
A000242,L0000203,BANK-11,5567675,6,1229609,4581737,0,faol
A000243,L0000204,BANK-05,19056902,36,639206,10108984,0,faol
A000245,L0000205,BANK-07,12172825,18,866013,9336944,0,yopilgan
A000247,L0000206,BANK-12,20257788,18,1293543,6386110,15,faol
A000249,L0000207,BANK-09,3986724,12,428988,1862636,0,faol
A000250,L0000208,BANK-08,15551123,6,2947773,5965013,0,faol
A000250,L0000209,BANK-09,19142903,36,587029,14081110,0,faol
A000250,L0000210,BANK-08,13696925,36,400509,1905101,0,faol
A000252,L0000211,BANK-09,9498199,60,174333,2511134,0,faol
A000253,L0000212,BANK-09,17407478,36,569598,11993180,0,yopilgan
A000254,L0000213,BANK-03,12136875,60,256818,1801782,15,yopilgan
A000255,L0000214,BANK-06,49229031,18,2964577,40260438,15,faol
A000257,L0000215,BANK-09,30432684,18,1968539,18233815,0,yopilgan
A000259,L0000216,BANK-11,4981723,24,253173,3035054,0,faol
A000259,L0000217,BANK-12,10060237,12,1072962,2210381,15,faol
A000259,L0000218,BANK-01,3603108,18,225537,755245,45,faol
A000260,L0000219,BANK-09,29057713,36,948386,3421163,0,faol
A000260,L0000220,BANK-02,27043507,18,1696341,14428231,0,faol
A000260,L0000221,BANK-05,30262684,24,1486265,10924413,0,faol
A000262,L0000222,BANK-04,3733108,36,113615,2610627,0,faol
A000262,L0000223,BANK-09,41117414,18,2756337,13944099,45,faol
A000262,L0000224,BANK-01,2966342,36,104009,700644,0,faol
A000263,L0000225,BANK-12,41986260,18,3091228,22709855,0,faol
A000263,L0000226,BANK-03,15968963,12,1464519,3947619,0,faol
A000264,L0000227,BANK-03,9390896,18,656814,3247305,0,faol
A000264,L0000228,BANK-08,23593959,60,443034,17295139,0,faol
A000265,L0000229,BANK-11,6098374,60,115139,3453897,0,faol
A000265,L0000230,BANK-12,6600910,24,316913,3657619,0,faol
A000265,L0000231,BANK-06,1979154,6,398790,1025247,15,faol
A000268,L0000232,BANK-11,11941136,24,527353,8039901,0,faol
A000269,L0000233,BANK-05,6135074,12,680656,4805528,0,faol
A000270,L0000234,BANK-08,6459843,12,568994,5196402,0,faol
A000270,L0000235,BANK-10,2800408,60,60923,562545,0,faol
A000272,L0000236,BANK-03,6154481,36,192257,3360621,0,faol
A000273,L0000237,BANK-11,17144310,6,3642302,5658908,0,yopilgan
A000275,L0000238,BANK-08,6313508,12,562029,2800719,0,faol
A000275,L0000239,BANK-11,7338517,36,231824,1038052,45,yopilgan
A000276,L0000240,BANK-04,15833893,6,3118180,8354278,95,yopilgan
A000277,L0000241,BANK-11,2816371,60,54231,2044372,15,faol
A000278,L0000242,BANK-12,23540005,18,1441042,7983276,95,faol
A000278,L0000243,BANK-12,22645259,24,1227331,20363739,0,faol
A000280,L0000244,BANK-07,14094463,6,3014461,7934735,0,faol
A000283,L0000245,BANK-12,10897445,24,560377,3316507,0,faol
A000289,L0000246,BANK-12,4827733,12,428403,3763292,95,faol
A000289,L0000247,BANK-06,8811700,24,402412,3809928,0,yopilgan
A000291,L0000248,BANK-10,59923078,24,2954133,6103551,45,faol
A000291,L0000249,BANK-03,18771440,6,4090403,11553371,0,yopilgan
A000294,L0000250,BANK-04,14375579,36,491956,3644294,0,faol
A000294,L0000251,BANK-05,15893825,6,3364377,10590851,15,faol
A000296,L0000252,BANK-03,11337193,6,2519723,8933744,0,faol
A000297,L0000253,BANK-03,13732815,12,1257309,3266291,0,yopilgan
A000298,L0000254,BANK-02,14965822,60,279732,6182203,0,faol
A000298,L0000255,BANK-09,6229361,18,403903,1653694,0,faol
A000300,L0000256,BANK-04,11143342,24,544037,6227108,95,faol
A000302,L0000257,BANK-05,6015389,24,308044,679429,0,faol
A000305,L0000258,BANK-04,9649282,36,342208,6729895,0,yopilgan
A000307,L0000259,BANK-01,25735385,24,1429415,6819530,0,faol
A000309,L0000260,BANK-02,8770756,12,902278,4957782,15,faol
A000310,L0000261,BANK-02,19058087,24,1062918,12526799,15,faol
A000310,L0000262,BANK-09,68695660,12,6323311,26406523,0,faol
A000312,L0000263,BANK-08,56354986,18,3866759,35411280,0,faol
A000312,L0000264,BANK-09,45804872,18,2916167,25091594,0,faol
A000313,L0000265,BANK-12,93835566,36,3036975,61057346,0,faol
A000313,L0000266,BANK-06,14556332,12,1484517,8368219,0,faol
A000316,L0000267,BANK-10,6216125,18,425474,2901726,0,faol
A000318,L0000268,BANK-10,9791433,18,700819,5713431,45,yopilgan
A000318,L0000269,BANK-09,6322286,24,337164,2417618,0,faol
A000320,L0000270,BANK-02,23258162,36,756892,3460175,15,faol
A000320,L0000271,BANK-06,4855002,60,89555,3848733,0,yopilgan
A000321,L0000272,BANK-10,14930458,18,991885,3414726,95,faol
A000323,L0000273,BANK-09,11511366,6,2535319,2872056,0,faol
A000324,L0000274,BANK-07,10037089,24,491765,6205418,0,faol
A000324,L0000275,BANK-08,38532353,24,1797794,23773771,45,yopilgan
A000324,L0000276,BANK-04,13320509,12,1179078,8427271,0,faol
A000328,L0000277,BANK-10,38374779,24,2063575,10315708,95,faol
A000331,L0000278,BANK-10,16580349,6,3402224,13116203,0,faol
A000335,L0000279,BANK-07,16428338,6,3261781,13975210,0,faol
A000337,L0000280,BANK-12,8406020,12,872953,1538732,95,yopilgan
A000338,L0000281,BANK-05,32574332,18,2135159,18100156,15,yopilgan
A000339,L0000282,BANK-04,7690932,18,492816,5126732,0,faol
A000341,L0000283,BANK-10,33396787,6,6061708,21192351,45,faol
A000341,L0000284,BANK-11,6007684,36,179479,1344279,0,faol
A000343,L0000285,BANK-10,17050925,12,1555832,9174741,0,faol
A000343,L0000286,BANK-06,1814459,6,386093,733017,0,faol
A000344,L0000287,BANK-01,7959973,12,847459,4423545,45,faol
A000346,L0000288,BANK-09,15406120,24,823681,10164531,15,faol
A000346,L0000289,BANK-04,5815905,60,111853,3383708,0,faol
A000346,L0000290,BANK-09,17826804,6,3808582,2539052,0,yopilgan
A000347,L0000291,BANK-02,11289264,12,1058007,8256906,0,faol
A000348,L0000292,BANK-07,11663486,24,593309,4052924,0,faol
A000349,L0000293,BANK-08,18677920,12,2048431,7006446,0,faol
A000353,L0000294,BANK-07,22282146,18,1412126,7419126,15,faol
A000357,L0000295,BANK-03,28097115,6,5079999,7920073,95,yopilgan
A000359,L0000296,BANK-07,39762854,36,1479367,16856847,0,yopilgan
A000359,L0000297,BANK-12,16694488,12,1579307,10886074,0,faol
A000360,L0000298,BANK-03,11287369,18,817302,2973222,0,faol
A000360,L0000299,BANK-05,23180875,60,470202,16166540,45,faol
A000361,L0000300,BANK-12,5067233,36,160992,3975539,45,yopilgan
A000364,L0000301,BANK-09,35256861,60,758322,19582562,0,faol
A000365,L0000302,BANK-02,23040767,12,2273835,3997717,95,faol
A000365,L0000303,BANK-07,3013134,12,270193,2678519,0,faol
A000366,L0000304,BANK-05,5784054,6,1048596,2615499,15,faol
A000367,L0000305,BANK-05,302552820,60,5713747,246979084,0,faol
A000367,L0000306,BANK-08,14615885,6,2741968,5619006,0,faol
A000370,L0000307,BANK-06,36561207,60,701389,17229057,0,faol
A000373,L0000308,BANK-05,19879842,60,441036,8330963,0,faol
A000374,L0000309,BANK-04,15761568,36,480609,5481497,0,faol
A000374,L0000310,BANK-03,3971518,6,812283,2458373,95,faol
A000377,L0000311,BANK-05,6627027,24,345849,3704198,0,faol
A000377,L0000312,BANK-07,17845227,24,934833,15099169,45,yopilgan
A000379,L0000313,BANK-03,6533760,18,403958,4696710,0,faol
A000382,L0000314,BANK-08,9603371,18,596204,3883656,0,faol
A000383,L0000315,BANK-03,72526995,18,4784050,38293068,0,faol
A000385,L0000316,BANK-11,10733856,12,944087,1365747,0,faol
A000386,L0000317,BANK-05,13656386,18,877949,2403006,45,faol
A000389,L0000318,BANK-06,10801184,36,404995,2322488,0,faol
A000389,L0000319,BANK-01,10940866,6,2383999,9820492,0,faol
A000389,L0000320,BANK-01,4573904,24,206032,3614505,15,faol
A000391,L0000321,BANK-12,4993175,60,99195,3453391,0,yopilgan
A000395,L0000322,BANK-07,5784390,36,191120,1117520,0,faol
A000395,L0000323,BANK-12,36050718,60,741130,13663274,0,faol
A000396,L0000324,BANK-05,48079319,60,967779,11481105,0,faol
A000396,L0000325,BANK-11,10340000,60,191336,5206834,0,faol
A000397,L0000326,BANK-04,36569323,24,1928934,17127613,0,faol
A000397,L0000327,BANK-05,8621434,36,309465,6586627,0,faol
A000398,L0000328,BANK-08,20087781,12,1761040,4813600,0,faol
A000398,L0000329,BANK-11,11769878,36,425969,8921841,0,faol
A000399,L0000330,BANK-09,10655999,12,1033759,2887132,0,faol
A000399,L0000331,BANK-09,2996878,18,221798,339632,0,faol
A000400,L0000332,BANK-09,12895430,24,662909,7909821,15,yopilgan
A000400,L0000333,BANK-05,4068874,24,228579,848877,0,faol
A000401,L0000334,BANK-03,7083034,24,331129,3333557,15,faol
A000403,L0000335,BANK-06,6200489,6,1361327,2150809,0,yopilgan
A000404,L0000336,BANK-08,24091416,18,1502562,11307151,15,faol
A000405,L0000337,BANK-01,6315382,12,583817,2508656,0,faol
A000406,L0000338,BANK-04,4233121,12,420004,2066149,0,faol
A000406,L0000339,BANK-08,9867182,18,712686,8317851,0,faol
A000407,L0000340,BANK-12,34300592,24,1854249,11162779,45,yopilgan
A000410,L0000341,BANK-08,12051212,18,886214,5184725,45,faol
A000411,L0000342,BANK-09,52536385,18,3295167,21934948,0,faol
A000412,L0000343,BANK-06,43330761,12,3986425,9033601,0,yopilgan
A000413,L0000344,BANK-05,19851119,6,3769406,10556718,0,faol
A000415,L0000345,BANK-05,23898107,18,1616937,9155772,0,yopilgan
A000416,L0000346,BANK-09,6409211,24,319710,2476649,0,faol
A000416,L0000347,BANK-09,12471448,12,1341679,7499121,0,faol
A000417,L0000348,BANK-11,10496592,24,469406,1081257,0,yopilgan
A000418,L0000349,BANK-08,16936962,12,1859133,6438131,15,faol
A000424,L0000350,BANK-01,9728337,36,344312,3836456,0,faol
A000426,L0000351,BANK-10,25248869,36,794181,19856602,0,faol
A000426,L0000352,BANK-10,33629089,24,1662440,13144453,0,faol
A000427,L0000353,BANK-08,13221604,60,271295,11398223,95,faol
A000430,L0000354,BANK-12,6834126,36,248856,1808957,0,faol
A000431,L0000355,BANK-11,11408777,6,2424523,2239166,0,faol
A000438,L0000356,BANK-08,10184897,24,456257,2143149,15,faol
A000439,L0000357,BANK-04,5743903,60,125327,4141135,0,faol
A000440,L0000358,BANK-01,12054155,24,665252,9171481,0,yopilgan
A000442,L0000359,BANK-12,6880871,18,460614,4395046,0,yopilgan
A000442,L0000360,BANK-03,28854079,18,1993861,22349970,0,yopilgan
A000442,L0000361,BANK-09,21087348,18,1469010,15322346,15,yopilgan
A000444,L0000362,BANK-10,28758048,24,1435103,15662868,15,faol
A000444,L0000363,BANK-02,40809464,36,1379038,9341343,15,faol
A000445,L0000364,BANK-07,5531474,6,1233675,4799000,0,faol
A000446,L0000365,BANK-05,28238493,12,2738097,12702014,0,faol
A000446,L0000366,BANK-03,9318414,12,914819,6888485,15,yopilgan
A000447,L0000367,BANK-01,12651201,36,397878,4529211,0,faol
A000451,L0000368,BANK-12,25694829,24,1284991,16429665,0,faol
A000452,L0000369,BANK-12,5986787,6,1102470,3374447,0,faol
A000453,L0000370,BANK-09,11272106,12,987252,7953744,0,faol
A000453,L0000371,BANK-02,16067979,6,3229614,7670665,0,faol
A000454,L0000372,BANK-09,17971753,6,3175635,13727127,0,yopilgan
A000455,L0000373,BANK-04,8024176,12,861417,5265979,0,yopilgan
A000455,L0000374,BANK-04,14619674,60,302718,8261691,0,faol
A000455,L0000375,BANK-09,11531662,60,248483,2219334,0,faol
A000456,L0000376,BANK-06,10331687,36,347950,2732213,0,faol
A000456,L0000377,BANK-03,10677409,60,219728,2629267,0,faol
A000456,L0000378,BANK-06,1820311,60,38824,1494667,0,faol
A000457,L0000379,BANK-03,13518723,6,2416695,3686411,45,faol
A000460,L0000380,BANK-01,11375919,24,590238,7633979,15,faol
A000462,L0000381,BANK-10,10703990,6,1981946,5248829,0,faol
A000462,L0000382,BANK-04,5165520,12,513032,1258570,0,faol
A000466,L0000383,BANK-06,13777699,36,425587,7398572,45,faol
A000471,L0000384,BANK-01,7310232,12,708872,2390702,0,faol
A000472,L0000385,BANK-06,5910272,12,621049,3236303,0,faol
A000474,L0000386,BANK-08,8431635,18,623634,6669563,0,faol
A000475,L0000387,BANK-10,10056187,60,185725,3238767,0,yopilgan
A000475,L0000388,BANK-01,9822664,12,939870,2957764,0,faol
A000477,L0000389,BANK-07,33086805,12,2937273,9313111,95,faol
A000477,L0000390,BANK-03,20976556,24,1005232,17337018,0,faol
A000478,L0000391,BANK-12,11924086,18,699225,2327642,0,yopilgan
A000479,L0000392,BANK-02,9898610,6,1753776,4836768,0,faol
A000479,L0000393,BANK-09,41136174,36,1280571,18709470,95,faol
A000482,L0000394,BANK-04,17898938,36,645017,3589624,0,faol
A000484,L0000395,BANK-05,19449410,24,999704,13038975,0,faol
A000485,L0000396,BANK-06,69503141,6,13616526,44270581,95,yopilgan
A000486,L0000397,BANK-01,14844051,18,994051,6242267,0,faol
A000487,L0000398,BANK-09,58200685,12,5448558,7622691,0,faol
A000487,L0000399,BANK-06,7950975,18,580393,6610765,45,yopilgan
A000488,L0000400,BANK-03,37926342,6,7692579,10317903,0,yopilgan
A000488,L0000401,BANK-05,4453025,24,225698,1710308,0,yopilgan
A000488,L0000402,BANK-01,19746148,36,613908,15055503,0,faol
A000490,L0000403,BANK-05,7421097,12,760905,1862045,0,faol
A000492,L0000404,BANK-03,5003791,18,373304,2527147,0,faol
A000492,L0000405,BANK-11,11746134,60,222799,9734419,15,faol
A000493,L0000406,BANK-02,14631878,24,643648,11926526,0,faol
A000495,L0000407,BANK-02,13290723,18,780810,11753200,0,faol
A000497,L0000408,BANK-10,25797002,6,5107787,15176565,45,faol
A000497,L0000409,BANK-05,7418762,12,791064,3300422,45,faol
A000499,L0000410,BANK-04,21082062,6,3728984,14930709,0,faol
