application_id,applicant_id,ariza_sana,sorlgan_summa,maqsad,muddat_oy,mavjud_oylik_yuk,natija
AP000371,A000371,2024-10-24,7985548,iste'mol,6,0,toladi
AP000372,A000372,2025-01-11,43168835,mikrobiznes,60,0,toladi
AP000373,A000373,2025-01-05,7881754,avto,60,441036,toladi
AP000374,A000374,2024-04-19,73084886,avto,24,1292892,toladi
AP000375,A000375,2024-07-31,9145784,iste'mol,24,0,toladi
AP000376,A000376,2025-01-26,6640957,avto,6,0,toladi
AP000377,A000377,2024-04-29,11791285,avto,24,1280682,toladi
AP000378,A000378,2024-10-19,19086411,kredit_karta,6,0,toladi
AP000379,A000379,2024-04-29,11156236,mikrobiznes,60,403958,toladi
AP000380,A000380,2024-09-28,53500824,kredit_karta,24,0,toladi
AP000381,A000381,2024-09-21,4036987,ipoteka,24,0,toladi
AP000382,A000382,2024-07-08,5176128,kredit_karta,24,596204,toladi
AP000383,A000383,2024-09-13,7920682,kredit_karta,12,4784050,toladi
AP000384,A000384,2024-09-29,17984351,mikrobiznes,60,0,toladi
AP000385,A000385,2024-06-07,11674080,kredit_karta,36,944087,toladi
AP000386,A000386,2024-12-28,3740509,ta'lim,12,877949,toladi
AP000387,A000387,2024-06-05,17313470,ipoteka,60,0,toladi
AP000388,A000388,2024-05-06,33087671,mikrobiznes,12,0,toladi
AP000389,A000389,2024-09-06,4506080,mikrobiznes,24,2995026,defolt
AP000390,A000390,2024-06-06,21113826,iste'mol,60,0,toladi
AP000391,A000391,2025-01-28,7708445,iste'mol,6,99195,toladi
AP000392,A000392,2024-09-25,78307095,avto,24,0,toladi
AP000393,A000393,2024-06-19,42710358,iste'mol,36,0,toladi
AP000394,A000394,2024-08-11,19496130,mikrobiznes,24,0,defolt
AP000395,A000395,2024-04-22,19433220,ta'lim,36,932250,toladi
AP000396,A000396,2024-11-25,54135122,mikrobiznes,12,1159115,toladi
AP000397,A000397,2024-12-15,14356840,ipoteka,6,2238399,toladi
