applicant_id,oy,kirim,chiqim,naqd_yechish,oy_oxiri_qoldiq
A000004,2025-01,3772852,3078180,197996,709617
A000005,2024-03,3346407,1891264,598819,0
A000005,2024-04,3142744,1825622,613323,926155
A000005,2024-05,3135505,2658936,166484,1035088
A000005,2024-06,3363529,2904265,430069,1118573
A000005,2024-07,3464364,2808038,654577,983090
A000005,2024-08,3211841,1509343,659005,807782
A000005,2024-09,3248070,3067575,438388,89207
A000005,2024-10,3470759,3003847,261541,631327
A000005,2024-11,3374571,1540500,986663,0
A000005,2024-12,3220780,1713343,964570,344831
A000005,2024-12,3307949,1677385,309841,375207
A000005,2025-01,3224042,2965858,137765,944490
A000006,2024-03,3720677,3238989,509107,368647
A000006,2024-04,3594422,1797991,1430043,424679
A000006,2024-05,3946117,1833132,882580,721360
A000006,2024-06,3624741,3227309,536602,1109188
A000006,2024-07,3717357,2335566,1030645,232440
A000006,2024-08,3897326,3518354,82470,240979
A000006,2024-09,3652383,2333063,1006816,237419
A000006,2024-10,3993200,2923926,487697,1075341
A000006,2024-11,3601793,3014074,201453,144337
A000006,2024-12,3609574,2083913,1148361,356273
A000006,2024-12,3728500,2715159,749809,552811
A000006,2025-01,3694960,2136547,381651,125468
A000007,2024-03,6774832,3543059,1194863,1928453
A000007,2024-04,6373313,5834257,1152544,821278
A000007,2024-05,6918600,5165125,1888414,0
A000007,2024-06,6989704,4475867,1865009,0
A000007,2024-07,6532042,5357388,209264,1198238
A000007,2024-08,6396704,5924632,1418116,600956
A000007,2024-09,6702434,5596800,2200142,155682
A000007,2024-10,6813684,3567746,2163431,594406
A000007,2024-11,6562941,3889822,1273966,1098031
A000007,2024-12,6695356,3493330,2446386,2327702
A000007,2024-12,6911097,5946711,1840483,2378752
A000007,2025-01,6468244,3536386,805437,1942760
A000008,2024-03,2509426,2138466,887771,471053
A000008,2024-04,2677988,1652880,255713,0
A000008,2024-05,2630943,1752348,310415,376813
A000008,2024-06,2522602,1715722,146295,92769
A000008,2024-07,2589940,2173909,454196,309359
A000008,2024-08,2554232,1372228,519955,627837
A000008,2024-09,2503016,1258124,865393,64731
A000008,2024-10,2683217,1703146,821319,538988
A000008,2024-11,2655722,2203694,221439,580937
A000008,2024-12,2686628,1247433,1040299,849233
A000008,2024-12,2658150,1243123,769054,809686
A000008,2025-01,2472747,1127312,473929,0
A000009,2024-03,6052398,4848821,122730,0
A000009,2024-04,6525172,3032252,2096833,1950601
A000009,2024-05,4151711,2720280,732002,980100
A000009,2024-06,3934723,2772265,1479742,0
A000009,2024-07,3365902,2522361,77751,116674
A000009,2024-08,6224805,3631777,998854,1839208
A000009,2024-09,3846748,1988882,1039272,1058846
A000009,2024-10,2955807,1604077,203318,0
A000009,2024-11,3864816,2502294,1210715,929523
A000009,2024-12,4326115,2257783,117776,1173576
A000009,2024-12,2913950,2266829,226261,4348
A000009,2025-01,3499622,2186162,1162992,285361
A000010,2024-03,5576780,4803125,1456456,1222648
A000010,2024-04,3406235,2299358,1291053,642094
A000010,2024-05,4093081,3875661,859328,399111
A000010,2024-06,5129784,4133041,1046407,1367364
A000010,2024-07,3307422,1937546,629109,0
A000010,2024-08,3159299,1605980,857901,1034434
A000010,2024-09,3059830,1716033,221281,8307
A000010,2024-10,3171083,1606118,128662,574350
A000010,2024-11,1584731,998685,203098,199555
A000010,2024-12,2648460,1489055,819054,581454
A000010,2024-12,1790602,1439228,656265,85492
A000010,2025-01,3360369,2724423,633922,365893
A000011,2024-03,1143035,1012512,368851,287874
A000011,2024-04,1676559,824090,667815,278521
A000011,2024-05,2520061,2297620,138821,0
A000011,2024-06,2734570,2204821,472252,238184
A000011,2024-07,2441854,1132596,861726,771445
A000011,2024-08,2080840,1288902,686214,0
A000011,2024-09,4192212,2296844,501779,858452
A000011,2024-10,3269187,1876261,227395,138858
A000011,2024-11,1538693,1004941,93259,437421
A000011,2024-12,1237342,689547,174677,0
A000011,2024-12,4158952,3286028,45372,0
A000011,2025-01,2846255,2006282,1024772,656107
A000012,2024-03,1401535,668686,467688,304097
A000012,2024-04,1362105,847012,183229,69213
A000012,2024-05,1500323,1256184,201165,0
A000012,2024-06,1466588,1251938,289181,360104
A000012,2024-07,1456570,1116813,56962,180201
A000012,2024-08,1465740,1156691,431468,428449
A000012,2024-09,1444732,939562,96475,0
A000012,2024-10,1430114,810368,353639,135805
A000012,2024-11,1361896,1137299,50159,19895
A000012,2024-12,1385517,1181865,65833,242703
A000012,2024-12,1469360,1060538,108194,60308
A000012,2025-01,1445857,776653,423553,399048
A000013,2024-03,4645121,3184756,1285687,989553
A000013,2024-04,4702285,3880427,573073,222997
A000013,2024-05,4540036,2518194,1524774,1314016
A000013,2024-06,4664433,2457324,9658,858531
A000013,2024-07,4782440,3305573,1505324,137850
A000013,2024-08,4304237,3263700,710710,717385
A000013,2024-09,4374800,3553871,1137453,21368
A000013,2024-10,4508993,2687957,1370987,551308
A000013,2024-11,4335510,2901755,530411,1502532
A000013,2024-12,4620070,3426229,674547,1042314
A000013,2024-12,4493172,3165578,1005073,1192868
A000013,2025-01,4439992,2690201,34712,1303093
A000014,2024-03,2776412,1650879,775759,504004
A000014,2024-04,2634100,2158202,793926,445519
A000014,2024-05,2849375,2585143,691181,801288
A000014,2024-06,2627799,1958587,595349,899741
A000014,2024-07,2606234,1379781,672220,57589
A000014,2024-08,2648307,1918205,217705,422358
A000014,2024-09,2567033,1193733,694760,824088
A000014,2024-10,2732582,1461294,815069,58520
A000014,2024-11,2577016,1846660,811405,288559
A000014,2024-12,2623996,1402730,680868,751455
A000014,2024-12,2832566,1427628,768967,341560
A000014,2025-01,2790013,2525873,295079,133927
A000015,2024-03,7802826,7137211,1486708,0
A000015,2024-04,4769388,3184398,952648,202011
A000015,2024-05,6832852,4629532,523125,1244536
A000015,2024-06,6813406,5927024,104513,37152
A000015,2024-07,8626009,4202906,2586116,0
A000015,2024-08,8916170,7916232,235552,1324389
A000015,2024-09,5842884,3841673,873297,706350
A000015,2024-10,8194301,4435321,3205427,910917
A000015,2024-11,7385254,4514906,243485,1950160
A000015,2024-12,8214008,6244299,2504151,513360
A000015,2024-12,8564931,4435353,3368833,1101946
A000015,2025-01,8084130,6372343,3039851,2698504
A000016,2024-03,1831651,1274051,118309,583881
A000016,2024-04,1923380,1438764,737363,602465
A000016,2024-05,1766685,1343139,205369,231779
A000016,2024-06,1925479,1366442,480838,0
A000016,2024-07,1768970,1598918,652439,353388
A000016,2024-08,1729338,1142079,665888,435144
A000016,2024-09,1755378,1584262,86529,580347
A000016,2024-10,1745714,1362509,139762,0
A000016,2024-11,1840942,1682760,675494,393439
A000016,2024-12,1886188,1435069,475764,426526
A000016,2024-12,1736688,907072,213433,165284
A000016,2025-01,1839781,1464044,118072,439000
A000017,2024-03,3062919,2235886,631773,0
A000017,2024-04,2922209,1772623,982891,396957
A000017,2024-05,2976966,1959906,593243,745486
A000017,2024-06,2992145,1524661,1171258,0
A000017,2024-07,3061380,1702462,1179012,519919
A000017,2024-08,2984746,1447008,303794,217797
A000017,2024-09,3034306,2506341,571799,669055
A000017,2024-10,2915460,1559531,899640,597132
A000017,2024-11,2859537,1394731,203501,71762
A000017,2024-12,2921235,1620454,966176,711037
A000017,2024-12,2921512,2523324,983187,365264
A000017,2025-01,3140042,1793326,754721,349086
A000018,2024-03,2934733,2307524,811904,880018
A000018,2024-04,2951393,1613984,721068,396198
A000018,2024-05,2977015,2062065,824298,0
A000018,2024-06,2918178,2003407,470091,122267
A000018,2024-07,2829183,2027807,660842,0
A000018,2024-08,3010281,2434946,148800,647149
A000018,2024-09,2828037,1761364,1074093,720215
A000018,2024-10,3040438,2458940,210746,0
A000018,2024-11,2859068,1313775,75007,503046
A000018,2024-12,2807181,2424306,159223,281530
A000018,2024-12,2919612,2484838,468616,495510
A000018,2025-01,2849165,1604627,642814,866300
A000019,2024-03,13880685,8652581,832729,1607602
A000019,2024-04,14625863,11892294,355464,1721043
A000019,2024-05,14261166,8489783,1085536,3973852
A000019,2024-06,13952973,9336937,195223,1119680
A000019,2024-07,13493341,11913574,4380778,2862781
A000019,2024-08,14832278,12437468,1888286,0
A000019,2024-09,14108149,6920736,2409545,1737595
A000019,2024-10,14222147,11111798,1381453,4464098
A000019,2024-11,13839826,9845135,2006764,0
A000019,2024-12,14106378,6480575,64256,4305591
A000019,2024-12,13499554,8844453,2980000,3328154
A000019,2025-01,13871311,10642511,5106318,1738432
A000020,2024-03,3741948,2323016,561632,384092
A000020,2024-04,3843108,2309771,320228,339861
A000020,2024-05,3938762,2229846,447403,712672
A000020,2024-06,3946410,3242570,1511114,156216
A000020,2024-07,3841128,3107397,1527980,1342271
A000020,2024-08,3695474,2295231,387598,165500
A000020,2024-09,3825887,3058824,1388677,1226860
A000020,2024-10,3797436,3023768,569478,876847
A000020,2024-11,3677320,3111863,1321023,725555
A000020,2024-12,4045034,3659833,1384422,1266138
A000020,2024-12,3857406,3300744,920940,84152
A000020,2025-01,3938868,2158098,827620,0
A000021,2024-03,5026514,3179428,585482,1510724
A000021,2024-04,5123595,3180623,286774,1733998
A000021,2024-05,4945239,3648293,1151480,119881
A000021,2024-06,5346499,3083080,1594015,1823022
A000021,2024-07,4995845,2762736,165239,8426
A000021,2024-08,5011272,2430788,1074671,0
A000021,2024-09,5156401,4189280,1819341,431573
A000021,2024-10,5041789,4024058,257569,0
A000021,2024-11,4865756,3427015,136489,146097
A000021,2024-12,4879020,4322837,200522,1349592
A000021,2024-12,5285070,2433293,120716,1124880
A000021,2025-01,4870656,3130175,694439,84783
A000022,2024-03,6769472,3779323,1441390,253004
A000022,2024-04,16255386,9734929,5806980,0
A000022,2024-05,7083190,4008158,2579513,1059582
A000022,2024-06,10458418,6200734,228900,2710618
A000022,2024-07,14714975,13373094,3720323,3923468
A000022,2024-08,3540795,3085726,1082301,958179
A000022,2024-09,11429122,10216146,3541322,3154924
A000022,2024-10,4832722,3965729,1616935,1220188
A000022,2024-11,10618340,6458809,3575789,0
A000022,2024-12,9202040,8608359,2482534,0
A000022,2024-12,8407617,4392426,735427,2680765
A000022,2025-01,7675657,4183897,2450079,0
A000023,2024-03,1811689,1118832,91331,0
A000023,2024-04,1806483,1233825,451753,359775
A000023,2024-05,1800335,934537,387055,225095
A000023,2024-06,1841839,1260937,596728,191044
A000023,2024-07,1901223,1202713,350347,283117
A000023,2024-08,1842007,914581,615762,233567
A000023,2024-09,1896988,1046252,8172,70452
A000023,2024-10,1907723,1803291,713687,59432
A000023,2024-11,1903409,958848,462133,16772
A000023,2024-12,1972870,1305678,94491,217382
A000023,2024-12,1877295,1144485,481103,424289
A000023,2025-01,1841315,1653433,11619,80254
A000024,2024-03,2746707,2386014,503063,0
A000024,2024-04,2615062,1227389,242458,102921
A000024,2024-05,2750402,1572181,488948,448175
A000024,2024-06,2755974,1615830,108785,137610
A000024,2024-07,2605797,2235881,603113,296941
A000024,2024-08,2773883,2549741,699403,943948
A000024,2024-09,2597714,2040210,699764,263675
A000024,2024-10,2745096,1496971,525302,512933
A000024,2024-11,2875266,2393983,182973,982341
A000024,2024-12,2855082,1355093,710047,506576
A000024,2024-12,2624672,1402980,312108,159137
A000024,2025-01,2668526,1283547,219015,538802
A000025,2024-03,7274061,6723117,741870,375933
A000025,2024-04,7058579,4624885,1776212,0
A000025,2024-05,6732454,3739673,15740,2166969
A000025,2024-06,7795560,3722357,1616123,2373780
A000025,2024-07,7246655,5072913,1230221,775356
A000025,2024-08,6235071,4695687,1595900,1350920
A000025,2024-09,6778951,3255488,1013390,959669
A000025,2024-10,5172758,2891343,989591,0
A000025,2024-11,6262385,3611988,555176,1904850
A000025,2024-12,7143062,4154641,2194596,199801
A000025,2024-12,5697089,4973386,1559442,0
A000025,2025-01,9311684,7413889,3412728,321725
A000026,2024-03,4280319,2208698,440289,11401
A000026,2024-04,4358520,3031396,1630297,468999
A000026,2024-05,4242546,3225264,1313380,354444
A000026,2024-06,4381751,4154201,1163915,449990
A000026,2024-07,4001807,1943491,59737,789447
A000026,2024-08,3978221,3680226,1345031,23048
A000026,2024-09,4042460,3406400,968280,907838
A000026,2024-10,4409209,3518469,1503572,0
A000026,2024-11,4157195,2335418,1341307,1093641
A000026,2024-12,4354862,2279585,1266964,0
A000026,2024-12,4040483,2851922,176761,85395
A000026,2025-01,4037523,3587576,1460677,418452
A000027,2024-03,5578798,5021162,670539,1732904
A000027,2024-04,7626530,3495128,177953,1159354
A000027,2024-05,6880390,4825533,1964905,1066698
A000027,2024-06,7925169,5215018,2100450,2742736
A000027,2024-07,2682561,1374052,1697,566631
A000027,2024-08,8321326,6059369,2185133,1563980
A000027,2024-09,8012928,5370676,545795,1206412
A000027,2024-10,7156773,5224399,2280930,1828096
A000027,2024-11,7477977,3457150,469222,992567
A000027,2024-12,7160157,5116311,912321,0
A000027,2024-12,5402122,4735709,61903,1164369
A000027,2025-01,3666023,3163122,154160,37577
A000028,2024-03,1356097,1191602,499573,458857
A000028,2024-04,1387152,1081843,466319,115809
A000028,2024-05,1419861,712909,506537,393811
A000028,2024-06,1424609,740308,70833,178134
A000028,2024-07,1317366,699067,349585,232646
A000028,2024-08,1296474,911676,341708,112250
A000028,2024-09,1299183,640097,400610,307251
A000028,2024-10,1347622,951514,446336,6631
A000028,2024-11,1303416,646986,80669,0
A000028,2024-12,1369423,1102291,544538,103253
A000028,2024-12,1393295,1103137,64267,196389
A000028,2025-01,1427441,762002,410081,39730
A000029,2024-03,2110962,1530097,811720,514899
A000029,2024-04,2267335,2003647,191574,258482
A000029,2024-05,1821251,1714231,223121,262187
A000029,2024-06,2497884,2166576,503118,41523
A000029,2024-07,2461477,1289082,343976,666407
A000029,2024-08,1936894,1013856,625515,0
A000029,2024-09,1730523,898623,508318,57138
A000029,2024-10,2076949,1255588,55739,666199
A000029,2024-11,777492,589234,129878,148109
A000029,2024-12,1380341,698110,320523,250091
A000029,2024-12,2571265,1481156,779201,11405
A000029,2025-01,1451914,1314731,47161,79994
A000030,2024-03,3881496,2672761,392991,698760
A000030,2024-04,4164922,2127387,425653,0
A000030,2024-05,3815404,3498978,439576,43155
A000030,2024-06,3829303,2973598,1525933,590059
A000030,2024-07,4129047,2477234,1362885,856163
A000030,2024-08,4117595,3364657,1405656,821642
A000030,2024-09,3940005,2353304,1336460,1153680
A000030,2024-10,3778678,2168395,932743,984334
A000030,2024-11,3773938,1883413,802592,220949
A000030,2024-12,3941081,2874360,825943,1245364
A000030,2024-12,3898475,1789293,233546,1094911
A000030,2025-01,3745368,3048149,397041,830640
A000031,2024-03,1521812,1330312,167016,524685
A000031,2024-04,1320008,1136541,443167,0
A000031,2024-05,604368,439711,53968,123682
A000031,2024-06,1537734,1459715,176045,147619
A000031,2024-07,1341958,1118830,522832,0
A000031,2024-08,1547567,929526,461352,103868
A000031,2024-09,1660532,778710,355082,35844
A000031,2024-10,1465086,868188,348572,0
A000031,2024-11,1625044,1345914,275599,64205
A000031,2024-12,747277,652712,169758,65712
A000031,2024-12,1234608,669576,400695,18596
A000031,2025-01,1747280,1048068,164685,436703
A000032,2024-03,2118792,1609840,543891,261093
A000032,2024-04,2184169,1085269,590499,618247
A000032,2024-05,1998353,1092353,35553,218460
A000032,2024-06,3013744,1640938,250982,75469
A000032,2024-07,1763830,1249736,571280,58285
A000032,2024-08,2387741,1115372,757734,768622
A000032,2024-09,2648350,1714170,444863,822679
A000032,2024-10,2208286,1725757,670300,71090
A000032,2024-11,2530652,2005564,197509,182941
A000032,2024-12,2462363,1448516,878107,708430
A000032,2024-12,2531915,1717468,306505,624806
A000032,2025-01,1901878,1741868,311511,0
A000033,2024-03,5584790,4916978,1769463,1623603
A000033,2024-04,16799313,8928554,3154646,3822371
A000033,2024-05,6458886,3218481,2021810,841397
A000033,2024-06,22908782,12260774,426291,1135452
A000033,2024-07,21139839,13685372,2682884,1404210
A000033,2024-08,16815752,15629005,2344371,3823357
A000033,2024-09,10996627,9999844,3928059,1879082
A000033,2024-10,20904814,18460721,6185393,0
A000033,2024-11,16784698,14305113,963215,0
A000033,2024-12,14074613,8904499,4104316,1851325
A000033,2024-12,13211858,7912581,3890339,806602
A000033,2025-01,14014419,13078875,4264626,1253851
A000034,2024-03,4393943,4145818,167025,491034
A000034,2024-04,4218427,2611247,713556,932609
A000034,2024-05,2335949,2127670,440764,556523
A000034,2024-06,3928868,1769353,1489447,0
A000034,2024-07,4521654,3071216,1032638,731490
A000034,2024-08,3685886,2260718,847369,0
A000034,2024-09,3267833,2917225,820438,737280
A000034,2024-10,7356476,5045133,260218,0
A000034,2024-11,6067919,3024173,2060724,852636
A000034,2024-12,4687575,2668769,343178,681512
A000034,2024-12,5783750,3763411,216889,424259
A000034,2025-01,4331703,3482824,1145600,573723
A000035,2024-03,3674764,3119762,264614,128776
A000035,2024-04,3897050,3660814,1183315,1076218
A000035,2024-05,3944474,1957532,743198,371587
A000035,2024-06,3696492,2491153,263111,1046288
A000035,2024-07,3834456,3044987,883806,1127968
A000035,2024-08,3835903,2040668,1405197,567074
A000035,2024-09,3722567,2991718,654625,0
A000035,2024-10,3825776,2271461,1349757,206679
A000035,2024-11,3591391,2708808,1143650,985644
A000035,2024-12,3634632,1999937,782977,570217
A000035,2024-12,3605051,2984594,149401,43457
A000035,2025-01,3634247,2371182,1266477,0
A000036,2024-03,2971126,2812989,851015,919324
A000036,2024-04,2545828,2336466,883371,644272
A000036,2024-05,3076697,1694465,593255,332313
A000036,2024-06,2349232,1447595,280217,0
A000036,2024-07,2644261,1954244,123544,600108
A000036,2024-08,2665511,2209023,229868,818209
A000036,2024-09,2142497,1084062,559833,229720
A000036,2024-10,4072878,2529799,1118390,353053
A000036,2024-11,1604704,1362566,265420,118173
A000036,2024-12,2138603,1602393,434886,182393
A000036,2024-12,4666534,2366326,410509,1520312
A000036,2025-01,2590864,1934320,86310,557282
A000037,2024-03,1874204,1749479,454605,231611
A000037,2024-04,1750399,1236558,150208,605378
A000037,2024-05,1450191,1093250,337263,362048
A000037,2024-06,1417675,1144444,359790,181289
A000037,2024-07,1805956,886559,387662,260356
A000037,2024-08,2005421,945252,453635,212524
A000037,2024-09,1590491,1397976,241072,0
A000037,2024-10,2160683,1089952,93228,271991
A000037,2024-11,1732031,1316355,433141,344798
A000037,2024-12,1910341,1757576,336870,139137
A000037,2024-12,2218762,2081066,210356,310832
A000037,2025-01,2124338,1969819,287150,652493
A000038,2024-03,2387230,1153135,255463,742335
A000038,2024-04,2407668,1198195,747868,283588
A000038,2024-05,2334582,1299368,95740,795109
A000038,2024-06,2465191,1226192,801752,367148
A000038,2024-07,2518904,1870167,685133,0
A000038,2024-08,2431573,1096889,110613,0
A000038,2024-09,2415109,1998015,835425,833443
A000038,2024-10,2540935,1457662,44894,522882
A000038,2024-11,2527725,2031016,640940,516860
A000038,2024-12,2393989,2098770,72907,83967
A000038,2024-12,2373556,1403201,156575,594345
A000038,2025-01,2287341,1532379,589593,0
A000039,2024-03,2687377,1472677,547587,879485
A000039,2024-04,3612749,3359807,662397,0
A000039,2024-05,3200727,1814208,1037650,378709
A000039,2024-06,2931550,1825085,414713,80203
A000039,2024-07,2550965,1289125,605575,0
A000039,2024-08,3504911,2346763,453672,0
A000039,2024-09,3103865,2874258,331526,524821
A000039,2024-10,1531420,1309272,137223,319040
A000039,2024-11,2876486,1866317,1052988,952365
A000039,2024-12,2692940,1365977,464658,258268
A000039,2024-12,3154421,1469926,930638,1048150
A000039,2025-01,2812655,1551342,1048890,442306
A000040,2024-03,8169940,5318151,19194,145299
A000040,2024-04,7940588,6850690,1029454,816495
A000040,2024-05,8274869,3837094,2737510,163086
A000040,2024-06,8182003,5477336,1560100,1647196
A000040,2024-07,8483177,5745543,2669391,1806025
A000040,2024-08,8412763,4734035,871288,0
A000040,2024-09,8599425,4253680,414857,17642
A000040,2024-10,8163757,6581575,208731,887391
A000040,2024-11,8370120,6244401,3033888,915105
A000040,2024-12,8749145,4431144,72928,1210145
A000040,2024-12,8762760,5111891,86781,1530801
A000040,2025-01,8233062,4654266,2693176,0
A000041,2024-03,6008738,4423869,1842009,0
A000041,2024-04,6335625,4506285,1816037,1574510
A000041,2024-05,6169818,5197181,1853026,978077
A000041,2024-06,6576277,5676127,2116997,1725293
A000041,2024-07,6108786,3784999,1426295,259952
A000041,2024-08,6001828,3506531,380103,1890819
A000041,2024-09,6065387,4653508,1019633,490935
A000041,2024-10,6506783,5833859,90444,1171396
A000041,2024-11,5953978,3330851,609015,1406426
A000041,2024-12,6068361,3490729,1610666,599344
A000041,2024-12,6328485,4274152,971850,591212
A000041,2025-01,6477468,2968979,1883464,882192
A000042,2024-03,11460361,5904280,617266,1781601
A000042,2024-04,11802094,10998356,3559937,1764810
A000042,2024-05,10878549,6978928,4082083,1245795
A000042,2024-06,11742541,7384495,3256051,2012566
A000042,2024-07,11394492,8468277,4498708,2633782
A000042,2024-08,10859469,6111334,2667473,2983076
A000042,2024-09,11794096,7434523,2720639,3521471
A000042,2024-10,11807724,5703277,1130046,2230010
A000042,2024-11,11820810,10416100,2412339,24062
A000042,2024-12,11949356,5517114,2551231,767638
A000042,2024-12,11864530,5667733,3667508,3966908
A000042,2025-01,11748839,6840321,18256,0
A000043,2024-03,2871554,1638571,564125,762084
A000043,2024-04,2933646,1915822,1013870,414402
A000043,2024-05,2970462,1397847,661158,912625
A000043,2024-06,3006366,1738324,405335,637704
A000043,2024-07,2946137,2570172,78101,359770
A000043,2024-08,2727524,2096980,1059976,700957
A000043,2024-09,2923320,2159550,1107785,746360
A000043,2024-10,2840156,2030345,446426,439534
A000043,2024-11,2847164,1400698,685641,728002
A000043,2024-12,2857761,1551079,22593,806649
A000043,2024-12,2920544,1723516,830876,134163
A000043,2025-01,2837532,1569889,514647,508090
A000044,2024-03,10290628,6665423,2823232,1859950
A000044,2024-04,10491485,7334370,2399175,2252837
A000044,2024-05,10537710,7689114,3802339,2200154
A000044,2024-06,10310888,4890455,595198,1824314
A000044,2024-07,10651666,7804889,582864,2110120
A000044,2024-08,10896161,10081558,4133003,0
A000044,2024-09,10820880,7659284,3449510,666971
A000044,2024-10,10128859,8595884,276912,3413143
A000044,2024-11,10292305,5231109,3595241,367519
A000044,2024-12,10829421,7020543,4119076,2628281
A000044,2024-12,10899450,5536861,2229569,3493429
A000044,2025-01,10037397,5564212,1201520,2765958
A000045,2024-03,2820984,1934286,759118,35793
A000045,2024-04,3007984,2593066,286404,639612
A000045,2024-05,4047275,2307548,907347,658386
A000045,2024-06,3605909,2234561,1028196,483665
A000045,2024-07,3969050,1823467,275117,31377
A000045,2024-08,2524763,1265440,439839,432560
A000045,2024-09,3295863,2835493,137024,202604
A000045,2024-10,3413112,2465215,966987,526876
A000045,2024-11,3494263,1920140,548977,1004674
A000045,2024-12,2884323,2494343,120764,505769
A000045,2024-12,4089281,1856124,1088451,0
A000045,2025-01,2055036,1732563,481824,387887
A000046,2024-03,2763092,2534389,231566,378340
A000046,2024-04,2903143,2078767,829958,864080
A000046,2024-05,2780461,1935819,857907,626099
A000046,2024-06,2854051,1705380,678692,758039
A000046,2024-07,3035270,1389018,977528,0
A000046,2024-08,2899068,1803681,826368,0
A000046,2024-09,2740417,1372905,228036,36867
A000046,2024-10,2748521,1930754,788755,173303
A000046,2024-11,2916746,2452517,720737,146100
A000046,2024-12,2859494,1591724,981558,32033
A000046,2024-12,2901987,2318554,718343,529884
A000046,2025-01,2844815,1295813,957586,134551
A000047,2024-03,8908681,8240401,1383318,1158816
A000047,2024-04,7950632,7272799,446466,365607
A000047,2024-05,7842140,5809082,314674,1855413
A000047,2024-06,7544748,3857444,34924,787799
A000047,2024-07,6731862,6072333,1971061,187686
A000047,2024-08,4580847,3700903,146756,906777
A000047,2024-09,12123098,10352900,1059466,887483
A000047,2024-10,8714030,6941343,23087,888686
A000047,2024-11,7619312,5319844,73500,2213686
A000047,2024-12,4209617,2336910,211945,0
A000047,2024-12,6851130,5729224,2701286,0
A000047,2025-01,7366897,5020283,1266684,1553521
A000048,2024-03,3171343,1823264,129561,460227
A000048,2024-04,4763505,2679640,1860110,0
A000048,2024-05,2816841,1463391,342274,455298
A000048,2024-06,3236449,2161896,833733,588567
A000048,2024-07,2647222,2146621,1037938,355596
A000048,2024-08,5049349,3971698,1940070,0
A000048,2024-09,3080112,2874134,1195637,194328
A000048,2024-10,2786767,2632571,933666,75265
A000048,2024-11,2473508,1573176,920656,233154
A000048,2024-12,4145192,3189365,1216308,1317368
A000048,2024-12,3034003,2385266,373251,0
A000048,2025-01,2273999,1157870,467928,219510
A000049,2024-03,2626391,2220925,450705,865040
A000049,2024-04,2689637,2302373,272368,540650
A000049,2024-05,2826256,1845511,75982,897875
A000049,2024-06,2761555,1515511,554168,449146
A000049,2024-07,2828589,1297458,163531,354052
A000049,2024-08,2724776,1829495,939145,54293
A000049,2024-09,2637887,2167907,117320,18568
A000049,2024-10,2821722,1321209,714560,750044
A000049,2024-11,2879758,1318838,650713,949012
A000049,2024-12,2801246,2328882,850319,614949
A000049,2024-12,2728021,2014723,191861,575291
A000049,2025-01,2854036,2676172,320046,0
A000050,2024-03,3358001,1568647,455501,825581
A000050,2024-04,3129317,2730445,1095081,1006470
A000050,2024-05,3212753,2507035,509098,0
A000050,2024-06,3177567,1707331,810554,926806
A000050,2024-07,3255884,1762923,1062393,1021287
A000050,2024-08,3264605,2585513,307551,81272
A000050,2024-09,3256795,2347619,199764,853536
A000050,2024-10,3395334,2965373,211471,0
A000050,2024-11,3464461,2354888,131469,335813
